textID,text,sentiment,Time of Tweet,Age of User,Country,Population -2020,Land Area (Km²),Density (P/Km²),sentiment_numeric
f3e83b7d22,ನಾನು ಅದನ್ನು ಓದುವ ಬಗ್ಗೆಯೂ ಯೋಚಿಸುತ್ತಿದ್ದೇನೆ! ಅವಳು ವೀಕ್ಷಣೆಯಲ್ಲೂ ಅದರ ಬಗ್ಗೆ ಮಾತನಾಡುತ್ತಿದ್ದಾಳೆ! ನೀವು ಆಗಾಗ್ಗೆ ತಪ್ಪಿಸಿಕೊಳ್ಳುವುದಿಲ್ಲ,ತಟಸ್ಥ,ಬೆಳಿಗ್ಗೆ,46-60,ಮೈಕ್ರೋನೇಶಿಯಾ,115023.0,700.0,164.0,1
3db940a3d7,"ನೀವು ನನ್ನ ಬೀಟ್‌ಗಳನ್ನು ಕೇಳಿದರೆ, ನನ್ನ ಸಂಗೀತದ ಒಟ್ಟಾರೆ ಧ್ವನಿಯನ್ನು ಸುಧಾರಿಸಲು ನಾನು ಏನು ಮಾಡಬೇಕೆಂದು ಬಹುಶಃ ಎಸ್‌ಎಂ ಸಲಹೆ ನೀಡಿದರೆ ನಾನು ತುಂಬಾ ಗೌರವಿಸಲ್ಪಡುತ್ತೇನೆ",ಧನಾತ್ಮಕ,ಮಧ್ಯಾಹ್ನ,60-70,ಲೆಬನಾನ್,6825445.0,10230.0,667.0,2
cadb7e8823,ಅವಳು ತನ್ನ ಮಾತುಗಳನ್ನು ಮರೆತು ನಂತರ ಅಳಲು ಪ್ರಾರಂಭಿಸಿದಳು ಮತ್ತು ಅವಳು ಹಾಡುವುದನ್ನು ನಿಲ್ಲಿಸಿದಳು ಆದರೆ ನಂತರ ಮುಂದುವರಿಸಿದಳು ಮತ್ತು ನಂತರ ಮತ್ತೆ ಅಳುತ್ತಾಳೆ ಆದ್ದರಿಂದ ಅವಳು ನಿಲ್ಲಿಸಿದಳು,ಋಣಾತ್ಮಕ,ಮಧ್ಯಾಹ್ನ,21-30,ನಿಕರಾಗುವಾ,6624554.0,120340.0,55.0,0
0d401237c2,ನಾನು ನನ್ನ ನೈಜ ಚಿತ್ರವನ್ನು ಹಾಕಿದ್ದೇನೆ. ನಾನು ಅವತಾರವನ್ನು ಕಳೆದುಕೊಳ್ಳಲಿದ್ದೇನೆ.,ಋಣಾತ್ಮಕ,ಬೆಳಿಗ್ಗೆ,46-60,ಮೈಕ್ರೋನೇಶಿಯಾ,115023.0,700.0,164.0,0
4f0c1d97c4,'ಹೆಚ್ಚುವರಿ ಕೈ' ಕಾಮೆಂಟ್ ತೊಂದರೆ ಉಂಟುಮಾಡುತ್ತದೆ ಎಂದು ನನಗೆ ತಿಳಿದಿರಬೇಕು... ಹೌಸ್ ಮ್ಯೂಸಿಕ್ ಮತ್ತು ಬಿಯಾಂಡ್ ಸಂಪುಟವನ್ನು ಅಪ್‌ಲೋಡ್ ಮಾಡುವ ಕುರಿತು. 3,ಋಣಾತ್ಮಕ,ಮಧ್ಯಾಹ್ನ,60-70,ವೆನೆಜುವೆಲಾ,28435940.0,882050.0,32.0,0
fb6110efb9,Raaaaaaaaagh ಮುಂಜಾನೆ ಮತ್ತು ಅದು ಇನ್ನೂ ಮುಂಚೆಯೇ ಅಲ್ಲ !! 6 ನಿಮಿಷದಲ್ಲಿ ಕೆಲಸಕ್ಕೆ ಹೊರಡಬೇಕು...,ತಟಸ್ಥ,ರಾತ್ರಿ,31-45,ಸೆನೆಗಲ್,16743927.0,192530.0,87.0,1
962ca0488f,_ ಈ ದೊಡ್ಡ ದೀರ್ಘ ಜಾಹೀರಾತಿನೊಂದಿಗೆ ಅವರು ಅವಳನ್ನು ಸರಿಹೊಂದಿಸುವುದಿಲ್ಲ,ತಟಸ್ಥ,ರಾತ್ರಿ,31-45,ಲೆಸೊಥೊ,2142249.0,30360.0,71.0,1
e6c154f9be,ಬಹಾಹ್ ದುಃಖದಿಂದ ನಾನು ಅಲ್ಲ,ಋಣಾತ್ಮಕ,ಬೆಳಿಗ್ಗೆ,0-20,ಮಂಗೋಲಿಯಾ,3278290.0,1553560.0,2.0,0
ab3f55a84d,ನನಗೆ ಪಿಜ್ಜಾ ಸಮಸ್ಯೆಗಳಿವೆ.. ನಾನು ಅದನ್ನು ತುಂಬಾ ಪ್ರೀತಿಸುತ್ತೇನೆ.. ನಾನು ಪಿಜ್ಜಾ ಮತ್ತು ಡಾಟ್ ಡಾಟ್ ಕರ್ವ್‌ಗೆ ತುಂಬಾ ವ್ಯಸನಿಯಾಗಿದ್ದೇನೆ. >,ಧನಾತ್ಮಕ,ರಾತ್ರಿ,31-45,ಟರ್ಕಿ,84339067.0,770000.0,110.0,2
80d96cab37,"hahaha! ನಿಮ್ಮ ಸ್ಕೇಟ್‌ಗಳನ್ನು ನೀವು ಬಲಪಡಿಸಬೇಕಾಗಬಹುದು ಎಂದು ಊಹಿಸಿ, ಹ್ಹಾ... ಅಂಟು ಅಸಹಿಷ್ಣುತೆಯೊಂದಿಗೆ ನೀವು ನನ್ನ ಸ್ನೇಹಿತ, ನಮ್ಮ ಅರೆ-ದೇವರು ಯಾರು ಎಂದು ನೆನಪಿಸಿಕೊಳ್ಳಿ",ಧನಾತ್ಮಕ,ಮಧ್ಯಾಹ್ನ,60-70,ಎಸ್ಟೋನಿಯಾ,1326535.0,42390.0,31.0,2
dbabff5048,ಓಮ್!!! ಈ ಸೂರ್ಯನು ಮೋಡಗಳ ಮೂಲಕ ಮಿನುಗುತ್ತಿದ್ದನೇ?! ವೂಹೂ!,ಧನಾತ್ಮಕ,ಮಧ್ಯಾಹ್ನ,60-70,ಸೈಪ್ರಸ್,1207359.0,9240.0,131.0,2
1ee78ef6e6,ಯವೋನ್ ಎಲ್ಲಿದ್ದೀಯಾ?? ಗೂಗಲ್ ಗ್ರೂಪ್‌ಗಳಲ್ಲಿ ನಿಮ್ಮನ್ನು ಒಂದು ದಿನದಿಂದ ನೋಡಿಲ್ಲ. ಮಿಸ್ ಯಾ.,ಋಣಾತ್ಮಕ,ಬೆಳಿಗ್ಗೆ,46-60,ಫ್ರಾನ್ಸ್,65273511.0,547557.0,119.0,0
aa4724b924,": ಇಲ್ಲ, ನಾನು ಇಂದು ಬಿದ್ದು ನನ್ನ ಕೈಯನ್ನು ಮೇಲಕ್ಕೆತ್ತಿದ್ದೇನೆ ಮತ್ತು ಈಗ ನಾನು ಬ್ಯಾಕ್ ಡ್ರೈವ್ ಮಾಡಬೇಕಾಗಿದೆ.",ಋಣಾತ್ಮಕ,ಬೆಳಿಗ್ಗೆ,46-60,ತಜಕಿಸ್ತಾನ್,9537645.0,139960.0,68.0,0
a3145ba47e,ಹೇ ಮಿಚೆಲ್ ನೀವು ಯಾವಾಗ ಮತ್ತೆ ಲೈವ್ ಆಗುತ್ತೀರಿ? ನಿನ್ನನ್ನು ಕರೆಯಲು ನನಗೆ ಅವಕಾಶ ಸಿಗಲಿಲ್ಲ,ಋಣಾತ್ಮಕ,ಬೆಳಿಗ್ಗೆ,0-20,ಕ್ಯೂಬಾ,11326616.0,106440.0,106.0,0
1e7956b538,ಊಟಕ್ಕೆ ಹೋಗುತ್ತಿದ್ದೇನೆ. bbs,ತಟಸ್ಥ,ಬೆಳಿಗ್ಗೆ,46-60,ಫ್ರಾನ್ಸ್,65273511.0,547557.0,119.0,1
90a2cdb657,ಅಮ್ಮನನ್ನು ಹಾಳುಮಾಡಲು ಉತ್ತಮವಾದ ಊಟ ಮತ್ತು ಅವಳ ನೆಚ್ಚಿನ ವೈನ್‌ನ ಬಾಟಲ್‌ನಲ್ಲಿ ವಿಶ್ರಾಂತಿ ಪಡೆಯಲು ಅವಕಾಶ ನೀಡುವುದಕ್ಕಿಂತ ಉತ್ತಮವಾದ ಮಾರ್ಗ ಯಾವುದು? ನಮ್ಮ ವೈನ್ ಕೆಂಪಾಗಿತ್ತು,ಧನಾತ್ಮಕ,ಬೆಳಿಗ್ಗೆ,46-60,ಜಾರ್ಜಿಯಾ,3989167.0,69490.0,57.0,2
869bb56451,ನಿಟ್ಟುಸಿರು... ನಿನಗೆ ಗೊತ್ತು ನಾನು...,ತಟಸ್ಥ,ಮಧ್ಯಾಹ್ನ,60-70,ಗ್ಯಾಬೊನ್,2225734.0,257670.0,9.0,1
303a1773cf,ಇತ್ತೀಚೆಗೆ ನನ್ನ ಜೀವನದ ಪ್ರತಿ ದಿನ.    ನಾನು ಹುಡುಗಿ ಎಂದು ಭಾವಿಸುತ್ತೇನೆ <3,ತಟಸ್ಥ,ಮಧ್ಯಾಹ್ನ,60-70,ವೆನೆಜುವೆಲಾ,28435940.0,882050.0,32.0,1
61a8e11e8a,"ಕೇಸಿ ಹೋಗಿದೆಯೇ?!?! ಆದರೆ ಏಕೆ?! ಆದ್ದರಿಂದ, ಅವಳು ಕಾರ್ಪೆಟ್ ಮೇಲೆ ಸ್ವಲ್ಪ ಪಿಡಲ್ ಮಾಡಿದಳು. ಇದು ಹೊಸದು ಎಂಬ ಕಾರಣಕ್ಕೆ ಅವಳು ಪ್ರೀಕ್ಡ್ ಆಗಿದ್ದಾಳೆ. ನಾವು ಅವಳನ್ನು ಮರಳಿ ಪಡೆಯಬಹುದೇ?",ಋಣಾತ್ಮಕ,ಬೆಳಿಗ್ಗೆ,0-20,ಲೈಬೀರಿಯಾ,5057681.0,96320.0,53.0,0
6e0abe59f9,ಈಗ ನಾನು ಮುಗಿಸಿದ್ದೇನೆ! ಶುಭ ರಾತ್ರಿ,ಧನಾತ್ಮಕ,ಮಧ್ಯಾಹ್ನ,21-30,ಕೀನ್ಯಾ,53771296.0,569140.0,94.0,2
db4bb26337,ವೈಟ್ ಪೋರ್ಚುಗಲ್‌ನ ಸಂವೇದನೆ ಸಾಗರ: ಸಂಪೂರ್ಣವಾಗಿ ನಂಬಲಾಗದ ನಾನು ಅದನ್ನು ಇಷ್ಟಪಟ್ಟೆ!,ಧನಾತ್ಮಕ,ಬೆಳಿಗ್ಗೆ,0-20,ಇಥಿಯೋಪಿಯಾ,114963588.0,1000000.0,115.0,2
17d18ba9ef,SG ಅದ್ಭುತವಾಗಿದೆ ಎಂದು ಭಾವಿಸುತ್ತಾರೆ,ಧನಾತ್ಮಕ,ರಾತ್ರಿ,70-100,ಜಿಬೌಟಿ,988000.0,23180.0,43.0,2
d59c09da6c,ದೇವರು ತುಂಬಾ ಒಳ್ಳೆಯವನು!!,ಧನಾತ್ಮಕ,ರಾತ್ರಿ,70-100,ಟರ್ಕಿ,84339067.0,770000.0,110.0,2
df0f568747,ನಾನು ಇನ್ನೂ ಅವನನ್ನು ಕಳೆದುಕೊಳ್ಳುತ್ತೇನೆ ... ಮತ್ತು ಅವನು ಹಿಂತಿರುಗುತ್ತಾನೆ ಎಂದು ನಾನು ಭಾವಿಸುವುದಿಲ್ಲ,ಋಣಾತ್ಮಕ,ಬೆಳಿಗ್ಗೆ,0-20,ಮಾರಿಟಾನಿಯ,4649658.0,1030700.0,5.0,0
bf46ac3c7f,ಗೇಮಿಂಗ್ ಸಿಸ್ಟಮ್ ಹೊಂದಲು ಬಯಸುತ್ತಾರೆ,ಧನಾತ್ಮಕ,ಮಧ್ಯಾಹ್ನ,60-70,ಅರ್ಮೇನಿಯಾ,2963243.0,28470.0,104.0,2
251aa82551,ಇಲ್ಲಿ 4 ಉಚಿತ ಟ್ವಿಟರ್ ಪರಿಕರಗಳು ನಿಮ್ಮನ್ನು ಅನುಸರಿಸುವವರನ್ನು ಪಡೆಯುತ್ತವೆ http://short.to/511q http://jijr.com/hulz http://short.to/511r http://2ve.org/xPG0/,ತಟಸ್ಥ,ಬೆಳಿಗ್ಗೆ,0-20,ಜಾರ್ಜಿಯಾ,3989167.0,69490.0,57.0,1
9f23e5d8f5,ಯಾರಿಗಾದರೂ ಒಳ್ಳೆಯದಿಲ್ಲ ...,ಋಣಾತ್ಮಕ,ಬೆಳಿಗ್ಗೆ,0-20,ಮಂಗೋಲಿಯಾ,3278290.0,1553560.0,2.0,0
35aa02c551,ನಾನು ನಿನ್ನನ್ನು ಅನುಸರಿಸುತ್ತೇನೆ! ನಾನು ನಿನ್ನನ್ನು ಅನುಸರಿಸುತ್ತೇನೆ! ಕ್ಷಮಿಸಿ!  ಆಹ್ಹಾಹ್ ನಾನು ನಿನ್ನನ್ನು ಕಳೆದುಕೊಂಡೆ!,ಋಣಾತ್ಮಕ,ಬೆಳಿಗ್ಗೆ,46-60,ಮಲಾವಿ,19129952.0,94280.0,203.0,0
fe09df7e91,ನನ್ನ ಸೊಸೆ ನನಗೆ ಕುಂಟಳಾಗಿದ್ದಾಳೆ ಎಂದು ನಾನು ಭಾವಿಸುತ್ತೇನೆ.,ಋಣಾತ್ಮಕ,ಮಧ್ಯಾಹ್ನ,60-70,ಭೂತಾನ್,771608.0,38100.0,20.0,0
f3a77c2b5e,_ನೆಸ್ಮಿತ್,ತಟಸ್ಥ,ರಾತ್ರಿ,31-45,ಕೇಪ್ ವರ್ಡೆ,555987.0,4030.0,138.0,1
4626b8b37a,ನನ್ನ ಬೂಟುಗಳು ನನ್ನ ಪಾದಗಳನ್ನು ನೋಯಿಸುತ್ತವೆ,ಋಣಾತ್ಮಕ,ರಾತ್ರಿ,31-45,ಉಗಾಂಡಾ,45741007.0,199810.0,229.0,0
fd98097a71,ವೂಲ್‌ವರ್ತ್ಸ್‌ನ ಅವಸಾನದ ನಂತರ ಸಮಂಜಸವಾದ ಬೆಲೆಯ ಪಿಕ್ ಎನ್ ಮಿಕ್ಸ್ ಅನ್ನು ಎಲ್ಲಿಯೂ ಕಂಡುಹಿಡಿಯುವುದು ಸುಲಭವಲ್ಲ,ಋಣಾತ್ಮಕ,ಮಧ್ಯಾಹ್ನ,21-30,ಬೋಟ್ಸ್ವಾನ,2351627.0,566730.0,4.0,0
c1dc0dd0f6,"twitters gettin a lil bit confusin... twitterific?twitdroid?twitterberry? ನಾನು txt ಬಿಟ್ ಅನ್ನು ಅರ್ಥಮಾಡಿಕೊಂಡಿದ್ದೇನೆ ಥೋ ಹೌದಾ, ಟ್ವಿಟರ್‌ಗಳು ಹೇಗಾದರೂ ತಂಪಾಗಿವೆ",ತಟಸ್ಥ,ಮಧ್ಯಾಹ್ನ,21-30,ಕಿರ್ಗಿಸ್ತಾನ್,6524195.0,191800.0,34.0,1
051025ff7f,ಕೆಟ್ಟ ಉತ್ತರದಲ್ಲಿ ನೀವು ಮೇ ಬ್ಯಾಂಕ್ ರಜೆಯನ್ನು ವ್ಯರ್ಥ ಮಾಡಬಾರದು- ನೀವು ಪಾರ್ಟಿ ಇರುವ ಬ್ರೈಟನ್‌ನಲ್ಲಿ ದಕ್ಷಿಣಕ್ಕೆ ಇಳಿಯಬೇಕು,ಋಣಾತ್ಮಕ,ಬೆಳಿಗ್ಗೆ,46-60,ನಾರ್ವೆ,5421241.0,365000.0,15.0,0
6788d6c565,ಅಯ್ಯೋ ಬ್ರಿಟನ್‌ನ ಗಾಟ್ ಟ್ಯಾಲೆಂಟ್‌ನಲ್ಲಿರುವ ಪುಟ್ಟ ಹುಡುಗಿ!  ನಾನು ಡಿಸೆಂಬರ್ ಆಂಟ್ ಅನ್ನು ನಿಜವಾಗಿಯೂ ಪ್ರೀತಿಸುತ್ತೇನೆ!  ಓಹ್ ಆನ್` ಸೈಮನ್ ಕೋವೆಲ್. ;),ಧನಾತ್ಮಕ,ಬೆಳಿಗ್ಗೆ,46-60,ಮಾರಿಟಾನಿಯ,4649658.0,1030700.0,5.0,2
fc6128f4e5,"ಸರಿ ನಾನು ಸೌಂಡ್‌ಟ್ರ್ಯಾಕ್‌ಗಳು, ಗ್ಯಾಲಕ್ಸಿ ಕ್ಲಾಸ್ ಸ್ಟಾರ್‌ಶಿಪ್ ಮತ್ತು EVE ಆನ್‌ಲೈನ್‌ನಲ್ಲಿ Ã¯Â¿Â½50 ರಂತೆ ಕಳೆದಿದ್ದೇನೆ. ನಿಟ್ಟುಸಿರು",ತಟಸ್ಥ,ಬೆಳಿಗ್ಗೆ,46-60,ಕಾಂಗೋ (ಕಾಂಗೊ-ಬ್ರಜಾವಿಲ್ಲೆ),5518087.0,342000.0,16.0,1
484373037f,ನಾನು ಗುರುವಾರ ರಾತ್ರಿ ಫ್ರಾಂಕ್ಲಿನ್‌ನಲ್ಲಿ ಹೊಸ ಚಲನಚಿತ್ರ ಪ್ರದರ್ಶನದಲ್ಲಿರುತ್ತೇನೆ.  ಹಲವಾರು SLA ಅಧ್ಯಾಪಕರು ಹಾಜರಿರುತ್ತಾರೆ.,ತಟಸ್ಥ,ಮಧ್ಯಾಹ್ನ,21-30,ಸೌದಿ ಅರೇಬಿಯಾ,34813871.0,2149690.0,16.0,1
4f1a7d1d2c,ಹೌದು ಅದು ಕೆಲಸ ಮಾಡುತ್ತಿದೆ. ಅವರು ಅದರ ಮೇಲೆ ಏನನ್ನೂ ಮರುಪಡೆಯಲು ಸಾಧ್ಯವಾಗಲಿಲ್ಲ,ಋಣಾತ್ಮಕ,ರಾತ್ರಿ,31-45,ಗ್ಯಾಂಬಿಯಾ,2416668.0,10120.0,239.0,0
d50b0a5b94,ಹಹ ನನಗೆ ಗೊತ್ತು.  ಆ ಕೊನೆಯ ಟ್ವೀಟ್‌ನಲ್ಲಿನ ಎಲ್ಲಾ ಮುದ್ರಣದೋಷಗಳ ಬಗ್ಗೆ ಕ್ಷಮಿಸಿ...ಬ್ಲೇ.  ps - ಯಾಕಂದರೆ ನಾನು ಹೇಳಿದ್ದು ಇಷ್ಟೊಂದು ಮುದ್ದಾದ ಚಿತ್ರ.. awww,ಧನಾತ್ಮಕ,ಬೆಳಿಗ್ಗೆ,0-20,ಸಿಂಗಾಪುರ,5850342.0,700.0,8358.0,2
2c0f4ee9e2,ನೀನು ಸಿಲ್ಲಿ.,ಋಣಾತ್ಮಕ,ಮಧ್ಯಾಹ್ನ,60-70,ಅಜೆರ್ಬೈಜಾನ್,10139177.0,82658.0,123.0,0
474b02cd39,ಎಚ್ಚರಿಕೆಗಾಗಿ ಧನ್ಯವಾದಗಳು. ಒಳ್ಳೆಯದು ನನ್ನ ಹೃದಯವು ಮುರಿಯಲಾಗದು.,ಧನಾತ್ಮಕ,ಮಧ್ಯಾಹ್ನ,60-70,ಬಾಂಗ್ಲಾದೇಶ,164689383.0,130170.0,1265.0,2
683bb73c09,--ಅದು ನನ್ನ ಮನಸ್ಸಿಗೆ ಬಂದಿತು. ಹಾಗಾಗಿ ನಾನು ಹೇಳಿದೆ. ಮತ್ತು ಈಗ ಅದನ್ನು ನನ್ನ ಕುಟುಂಬದ ಶಬ್ದಕೋಶಕ್ಕೆ ಅಳವಡಿಸಲಾಗಿದೆ,ತಟಸ್ಥ,ರಾತ್ರಿ,70-100,ಯುನೈಟೆಡ್ ಕಿಂಗ್ಡಮ್,67886011.0,241930.0,281.0,1
f97b498af4,"ನೀವು ಎಸ್ಟೋನಿಯಾಗೆ ಬರಬೇಕು, ಇಲ್ಲಿ ಕೆಲವು ಮಹಾಕಾವ್ಯ ಕುದುರೆಗಳು ನನಗೆ ಗೊತ್ತು, ಹೇ, ಮತ್ತು ಉತ್ತಮ ತರಬೇತುದಾರ ಮತ್ತು ಉತ್ತಮ ಕಡಲತೀರಗಳು ಸವಾರಿ ಮಾಡಬೇಕಾಗಿತ್ತು!",ಧನಾತ್ಮಕ,ಬೆಳಿಗ್ಗೆ,46-60,ಪಪುವಾ ನ್ಯೂ ಗಿನಿಯಾ,8947024.0,452860.0,20.0,2
